name,latitude,longitude
Greece Store,43.214571,-77.724256
Rochester Supercenter,43.080606,-77.62265
New Hartford Supercenter,43.095414,-75.312346
Canandaigua Supercenter,42.876081,-77.23991
Waterloo Supercenter,42.9076868,-76.8408491
Geneva Supercenter,42.859824,-77.021515
Webster Supercenter,43.190503,-77.498195
Cortland Supercenter,42.569011,-76.218215
Gloversville Supercenter,43.031276,-74.342248
Fishkill Supercenter,41.530779,-73.897109
Newark Supercenter,43.051597,-77.057757
Auburn Supercenter,42.9540567,-76.5481535
Liverpool Supercenter,43.189246,-76.242531
Vestal Supercenter,42.095462,-76.013283
Watertown Supercenter,43.976571,-75.958883
Niagara Falls Supercenter,43.094308,-78.978894
Oswego Supercenter,43.464286,-76.479042
Rensselaer Supercenter,42.641387,-73.7018126
Massena Supercenter,44.922201,-74.877754
Fredonia Supercenter,42.45371,-79.313292
Middletown Supercenter,41.455314,-74.37827
Geneseo Supercenter,42.802569,-77.788392
Lakewood Supercenter,42.097,-79.299923
Horseheads Supercenter,42.1568225,-76.8540245
Plattsburgh Supercenter,44.692173,-73.486997
Brockport Supercenter,43.196977,-77.927723
Latham Supercenter,42.746495,-73.764381
Warsaw Store,42.767271,-78.128215
Saratoga Springs Supercenter,43.10445,-73.749197
Batavia Supercenter,43.013638,-78.207967
Ogdensburg Store,44.708186,-75.456123
Utica Supercenter,43.12345,-75.225657
Hudson Supercenter,42.278396,-73.750352
Newburgh Supercenter,41.497674,-74.074726
Lockport Supercenter,43.147314,-78.694226
Queensbury Supercenter,43.334668,-73.681457
Norwich Supercenter,42.496892,-75.526931
Cobleskill Supercenter,42.6823913,-74.4552524
Amsterdam Supercenter,42.964506,-74.183699
Albany Supercenter,42.694877,-73.847121
Middle Island Store,40.880134,-72.947124
Olean Supercenter,42.080352,-78.467732
Springville Supercenter,42.500879,-78.693193
East Syracuse Supercenter,43.060842,-76.060077
Amherst Supercenter,42.982385,-78.811839
Rome Supercenter,43.237252,-75.501823
Oneonta Supercenter,42.447466,-75.039081
Schenectady Store,42.7854,-73.941664
Herkimer Supercenter,43.021424,-74.997828
Centereach Store,40.863036,-73.0812114
Hornell Store,42.346455,-77.669027
Catskill Supercenter,42.212559,-73.882972
Williamsville Supercenter,42.983145,-78.693781
Troy Supercenter,42.745784,-73.638741
Hamburg Supercenter,42.743219,-78.871643
Ticonderoga Supercenter,43.856814,-73.433253
Oneida Supercenter,43.078461,-75.691395
Kingston Supercenter,41.972503,-73.985511
Mohegan Lake Store,41.310524,-73.8667982
Monticello Supercenter,41.666909,-74.679828
Camillus Supercenter,43.037822,-76.272331
Uniondale Store,40.695901,-73.578063
Cheektowaga Supercenter,42.910469,-78.743309
Monroe Supercenter,41.316942,-74.148316
Victor Supercenter,43.015934,-77.436261
Clifton Park Supercenter,42.846925,-73.74784
Rochester Supercenter,43.133781,-77.688947
Glenville Supercenter,42.84173,-73.944171
Suffern Store,41.113316,-74.107074
Riverhead Store,40.92474,-72.711673
Central Square Supercenter,43.29137,-76.127475
East Setauket Store,40.903048,-73.078212
East Meadow Store,40.726907,-73.543756
Islandia Store,40.800592,-73.178586
Painted Post Supercenter,42.155559,-77.106849
Watkins Glen Supercenter,42.3807218,-76.863316
Rochester Supercenter,43.1942812,-77.5968688
Potsdam Supercenter,44.661593,-75.026502
Fulton Supercenter,43.323635,-76.448689
Malone Supercenter,44.845175,-74.329384
Westbury Store,40.743299,-73.600926
Glenmont Supercenter,42.608957,-73.792705
Albion Supercenter,43.234153,-78.226188
Macedon Supercenter,43.066512,-77.357871
Levittown Neighborhood Market,40.726434,-73.512899
Queensbury Supercenter,43.319893,-73.612395
Napanoch Supercenter,41.7424997,-74.3706537
North Tonawanda Supercenter,43.0559644,-78.8436698
Lancaster Supercenter,42.882479,-78.694009
Commack Store,40.811786,-73.289495
Ithaca Supercenter,42.427633,-76.513975
Cicero Supercenter,43.161056,-76.11748
Greece Supercenter,43.239688,-77.643554
Valley Stream Supercenter,40.660941,-73.726722
Farmingdale Store,40.726881,-73.420396
Evans Mills Supercenter,44.040509,-75.844512
Lowville Supercenter,43.7736414,-75.478088
Johnson City Supercenter,42.115453,-75.946979